X,Y,fid,OBJECTID,wm_ElementGuid,wmPhaseOrder,wmIsDead,wmBaseKv,wmIsModified,wmXCoordinate,wmNumberOfChildren,wmUplineFeeder,wmConsumerElementsDownline,wmProjectName,wmUplineDevice,wmUplineTransformer,wmPhasing,wmY2Coordinate,wmGraphicalLength,wmParent,wmYCoordinate,wmUplineElement,wmX2Coordinate,wmParentType,wmIsDeadC,wmIsDeadB,wmIsDeadA,wmUplineSource,wmUplineFeederNumber,wmType,wmMapName,wmUserTag,wmElementName,wmNumberOfPhases,wmNominalLLVoltage,wmNominalLGVoltage,wmSourceFeederColor,wmBusVoltage,wmSourceConnection,wmSubNumber,wmOHGroundOhms,wmSymbolRotation,wmSEDC_Districts_shp_Code,wmCounty_shp_Code,wmSubdivisions_shp_SUBDIVID,wmSEDC_Districts_shp_District,wmCounty_shp_NAME,wmBoardDist_shp_Code,wmGrid_shp_X,wmfire_shp_Action,wmSEDC_Districts_shp_Id,wmCounty_shp_Y,wmGrid_shp_OBJECTID,wmSchoolDist_shp_Action,wmROWZones2023_shp_Zone,Substation,Transformer,icon_url
-91.1249875439842,39.2856387299571,"1","1",{E6F75C65-61C5-11EC-A707-309C23851011},ABC,false,7.19999980926514,false,643310.189594237,"1",,"692",2023-05-05 14.01.14.341,,,ABC,1257629.65901813,0,,1257629.65901813,,643310.189594237,,false,false,false,Cyrene T1,"0",Source,,,Cyrene T1,Three Phase,12470.765625,7200,"0",125.999992370605,Wye,"81",40,0,"21","04",,North N1,Pike,"41","2.16943135086e+006",,"0","1.43019210345e+007","1432",,"06",Cyrene ,T1,./0.png
-91.0110676643365,38.9879267444626,"2","2",{5CF39385-1586-11EC-AF67-309C23E9D3C3},ABC,false,14.3999996185303,false,674944.266315794,"1",,"0",2023-05-05 14.01.14.341,,,ABC,1148998.27304089,0,,1148998.27304089,,674944.266315794,,false,false,false,Meister T2,"0",Source,,,Meister T2,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"0",40,0,"21","02",,North N1,Lincoln,"21","2.20801772975e+006",,"0","1.41870779034e+007","1662",,"08",Meister ,T2,./0.png
-90.8361963432162,38.9373853067601,"3","3",{CC494BCD-EBBA-11EA-A6DC-309C23851011},ABC,false,14.3999996185303,false,724581.427568291,"1",,"1568",2023-05-05 14.01.14.341,,,ABC,1130359.51739412,0,,1130359.51739412,,724581.427568291,,false,false,false,Ethlyn T3,"0",Source,,,Ethlyn T3,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"333",40,0,"21","02",,North N1,Lincoln,"23","2.25648939434e+006",,"0","1.41870779034e+007","1685",,"10",Ethlyn ,T3,./0.png
-91.1786225725735,38.9919010622221,"4","4",{8996C560-1E3D-11E4-BA4A-00268310384F},ABC,false,14.3999996185303,false,627329.238903459,"1",,"0",2023-05-05 14.01.14.341,,,ABC,1150756.94179722,0,,1150756.94179722,,627329.238903459,,false,false,false,Hawk Point T2,"0",Source,,,Hawk Point T2,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"0",40,0,"22","02",,North N2,Lincoln,"21","2.15793023167e+006",,"0","1.41870779034e+007","1254",,"05",Hawk ,T2,./0.png
-90.8363376891131,38.9373692247938,"5","5",{42F0BE61-13F5-4D85-A962-5F5E8F6A3930},ABC,false,14.3999996185303,false,724541.2015633,"1",,"2611",2023-05-05 14.01.14.341,,,ABC,1130353.808991,0,,1130353.808991,,724541.2015633,,false,false,false,Ethlyn T1,"0",Source,331_01,,Ethlyn T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"331",40,0,"21","02",,North N1,Lincoln,"23","2.25648939434e+006",,"0","1.41870779034e+007","1685",,"10",Ethlyn ,T1,./0.png
-90.8758774260912,38.7480685759332,"6","6",{4E4E3703-D176-11E4-8944-54271EFBB461},ABC,false,14.3999996185303,false,713010.80293506,"1",,"3172",2023-05-05 14.01.14.341,,,ABC,1061456.37296595,0,,1061456.37296595,,713010.80293506,,false,false,false,New Melle T2,"0",Source,"40400015",,New Melle T2,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"0",40,0,"31","01",,South S1,St. Charles,"12","2.24546245156e+006",,"0","1.40806783913e+007","1841",,"02",New Melle,T2,./0.png
-91.011755856085,38.8780308902792,"7","7",{2F0B6913-0E61-41EF-82E8-F13E1C46D836},ABC,false,14.3999996185303,false,674523.9644543,"1",,"2241",2023-05-05 14.01.14.341,,,ABC,1108975.513193,0,,1108975.513193,,674523.9644543,,false,false,false,Big Creek T2,"0",Source,,,Big Creek T2,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"312",40,0,"22","02",,North N2,Lincoln,"23","2.20804136518e+006",,"0","1.41870779034e+007","1233",,"08",Big Creek,T2,./0.png
-90.8958018193972,39.1423946047994,"8","8",{9AE4CD39-2C2D-4F20-9AF2-324DEBA7FB7D},ABC,false,14.3999996185303,false,707952.167814346,"1",,"2490",2023-05-05 14.01.14.341,,,ABC,1205092.32851427,0,,1205092.32851427,,707952.167814346,,false,false,false,New Hope T1,"0",Source,,,New Hope T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"151",40,0,"21","02",,North N1,Lincoln,"21","2.23956805239e+006",,"0","1.41870779034e+007","1332",,"07",New Hope,T1,./0.png
-90.6527969104984,38.7552998848597,"9","9",{C3186E5D-F793-466D-8EEF-C2626ADF4466},ABC,false,14.3999996185303,false,776636.3408924,"1",,"2282",2023-05-05 14.01.14.341,,,ABC,1063905.96845,0,,1063905.96845,,776636.3408924,,false,false,false,Cottleville T1,"0",Source,,,Cottleville T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"491",40,0,"32","01",,South S2,St. Charles,"14","2.30927252099e+006",,"0","1.40806783913e+007","1780",,"01",Cottleville , T1,./0.png
-90.8364804527453,38.9374405474058,"10","10",{91A07CB6-77BE-462D-9D2E-5BD0EEFAD57F},ABC,false,2.40177702903748,false,724500.689928271,"1",,"1",2023-05-05 14.01.14.341,,,ABC,1130379.93463459,0,,1130379.93463459,,724500.689928271,,false,false,false,Ethlyn T2,"0",Source,331_02,,Ethlyn T2,Three Phase,4160,2401.77709960938,"0",125.999992370605,Wye,"331",40,0,"21","02",,North N1,Lincoln,"23","2.25648939434e+006",,"0","1.41870779034e+007","1685",,"10",Ethlyn , T2,./0.png
-90.6526765083635,38.7552986296508,"11","11",{9FC1E736-6E72-4829-B04C-D0B8EE2D9CC3},ABC,false,14.3999996185303,false,776670.6742509,"1",,"3449",2023-05-05 14.01.14.341,,,ABC,1063905.45408,0,,1063905.45408,,776670.6742509,,false,false,false,Cottleville T2,"0",Source,,,Cottleville T2,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"492",40,0,"32","01",,South S2,St. Charles,"14","2.30927252099e+006",,"0","1.40806783913e+007","1780",,"01",Cottleville ,T2,./0.png
-91.1249877611077,39.2856435966371,"12","12",{5A052ADF-D482-4A57-822F-73531D426126},ABC,false,14.3999996185303,false,643310.140663099,"1",,"778",2023-05-05 14.01.14.341,,,ABC,1257631.432034,0,,1257631.432034,,643310.140663099,,false,false,false,Cyrene T2,"0",Source,,,Cyrene T2,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"82",40,0,"21","04",,North N1,Pike,"41","2.16943135086e+006",,"0","1.43019210345e+007","1432",,"06",Cyrene ,T2,./0.png
