X,Y,fid,OBJECTID,wm_ElementGuid,wmPhaseOrder,wmIsDead,wmBaseKv,wmIsModified,wmXCoordinate,wmNumberOfChildren,wmUplineFeeder,wmConsumerElementsDownline,wmProjectName,wmUplineDevice,wmUplineTransformer,wmPhasing,wmY2Coordinate,wmGraphicalLength,wmParent,wmYCoordinate,wmUplineElement,wmX2Coordinate,wmParentType,wmIsDeadC,wmIsDeadB,wmIsDeadA,wmUplineSource,wmUplineFeederNumber,wmType,wmMapName,wmUserTag,wmElementName,wmNumberOfPhases,wmNominalLLVoltage,wmNominalLGVoltage,wmSourceFeederColor,wmBusVoltage,wmSourceConnection,wmSubNumber,wmOHGroundOhms,wmSymbolRotation,wmSEDC_Districts_shp_Code,wmCounty_shp_Code,wmSubdivisions_shp_SUBDIVID,wmSEDC_Districts_shp_District,wmCounty_shp_NAME,wmBoardDist_shp_Code,wmGrid_shp_X,wmfire_shp_Action,wmSEDC_Districts_shp_Id,wmCounty_shp_Y,wmGrid_shp_OBJECTID,wmSchoolDist_shp_Action,wmROWZones2023_shp_Zone,Substation,icon_url
-90.7895870069904,38.8006119512514,"20","20",{543F0794-2427-4880-8098-2DFB6126704B},ABC,false,7.19999980926514,false,737680.9206271,"1",,"1462",2023-05-05 14.01.14.341,,,ABC,1080502.2936,0,,1080502.2936,,737680.9206271,,false,false,false,LSL T1,"0",Source,,,LSL T1,Three Phase,12470.765625,7200,"0",125.999992370605,Wye,"401",40,0,"31","01","88",South S1,St. Charles,"13","2.27166176998e+006",,"0","1.40806783913e+007","579",,"01",LSL ,./0.png
-90.6996503985263,38.8389625725293,"21","21",{38CE46D1-42C6-4D5D-A80B-CC08F2729A88},ABC,false,14.3999996185303,false,763341.948642828,"1",,"2098",2023-05-05 14.01.14.341,,,ABC,1094400.4450587,0,,1094400.4450587,,763341.948642828,,false,false,false,OFallon T1,"0",Source,,,OFallon T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"411",40,0,"32","01",,South S2,St. Charles,"11","2.29300177045e+006",,"0","1.40806783913e+007","539",,"10",OFallon ,./0.png
-90.7761765894013,38.7656364053719,"22","22",{29AC7F05-A000-460C-988D-27026EE9A6B3},ABC,false,14.3999996185303,false,741464.2157232,"2",,"5233",2023-05-05 14.01.14.341,,,ABC,1067752.865162,0,,1067752.865162,,741464.2157232,,false,false,false,Dardenne T2,"0",Source,,,Dardenne T2,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"482",40,0,"31","01",,South S1,St. Charles,"12","0.00000000000e+000",,"0","1.40806783913e+007","1951",,"01",Dardenne ,./0.png
-90.8425209073266,38.9911405600952,"27","27",{388D8E62-42CC-46A6-95C8-E04F2A3E683A},ABC,false,14.3999996185303,false,722856.0869935,"1",,"3138",2023-05-05 14.01.14.341,,,ABC,1149943.756527,0,,1149943.756527,,722856.0869935,,false,false,false,Troy T2,"0",Source,,,Troy T2,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"262",40,0,"21","02",,North N1,Lincoln,"23","2.25083903439e+006",,"0","1.41870779034e+007","1283",,"09",Troy ,./0.png
-90.6277345882738,38.7275938199126,"29","29",{47741EB7-F66B-4F97-8AAB-51B4E4A43F0F},ABC,false,14.3999996185303,false,783769.13406,"1",,"2210",2023-05-05 14.01.14.341,,,ABC,1053804.964411,0,,1053804.964411,,783769.13406,,false,false,false,Kisker T4,"0",Source,,,Kisker T4,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"504",40,0,"32","01",,South S2,St. Charles,"15","2.31455764624e+006",,"0","1.40806783913e+007","1721",,"01",Kisker ,./0.png
-91.3092698262737,38.7706177568281,"31","31",{40D03B0C-0FF8-4F02-9F5D-41B0A29EC6BE},ABC,false,14.3999996185303,false,589481.294183,"1",,"940",2023-05-05 14.01.14.341,,,ABC,1070469.067558,0,,1070469.067558,,589481.294183,,false,false,false,Lost Creek T1,"0",Source,,,Lost Creek T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"431",40,0,"22","03",,North N2,Warren,"32","2.12115863287e+006",,"0","1.40846158664e+007","1001",,"04",Lost Creek,./0.png
-91.1419925019107,38.7297792184777,"32","32",{118EBBDA-AC59-482D-9B4E-09524F18020C},ABC,false,14.3999996185303,false,637069.174547842,"1",,"1676",2023-05-05 14.01.14.341,,,ABC,1055217.83591789,0,,1055217.83591789,,637069.174547842,,false,false,false,Charrette T1,"0",Source,,,Charrette T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"451",40,0,"34","03",,South N2,Warren,"33","2.17079659660e+006",,"0","1.40846158664e+007","525",,"03",Charrette ,./0.png
-90.8263351308822,38.7532156687063,"33","33",{3D733B56-B175-4721-8F95-5890E33B5938},ABC,false,14.3999996185303,false,727146.670840716,"1",,"2856",Hopwell Sub Cleanup,,,ABC,1063276.59172848,0,,1063276.59172848,,727146.670840716,,false,false,false,Hopewell T1,"0",Source,,,Hopewell T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"485",40,0,"31","01",,South S1,St. Charles,"12","2.26080901956e+006",,"0","1.40806783913e+007","1789",,"01",Hopewell ,./0.png
-90.8657290722722,39.0678821324393,"34","34",{C447DBE4-75E5-46A2-9B40-04B8DF59E90A},ABC,false,14.3999996185303,false,716372.1069906,"1",,"2167",2023-05-05 14.01.14.341,,,ABC,1177918.733257,0,,1177918.733257,,716372.1069906,,false,false,false,Brussels T1,"0",Source,,,Brussels T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"201",40,0,"21","02",,North N1,Lincoln,"22","2.24518209087e+006",,"0","1.41870779034e+007","1105",,"09",Brussels ,./0.png
-91.0117682331908,38.8780507510219,"35","35",{2162B748-7C83-4DAA-8A67-04CC892956DF},ABC,false,14.3999996185303,false,674520.4815725,"1",,"1625",2023-05-05 14.01.14.341,,,ABC,1108982.766134,0,,1108982.766134,,674520.4815725,,false,false,false,Big Creek T3,"0",Source,,,Big Creek T3,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"313",40,0,"22","02",,North N2,Lincoln,"23","2.20804136518e+006",,"0","1.41870779034e+007","1233",,"08",Big Creek,./0.png
